"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"896" 16 "e1" 20 "c" "2" "的" "-" 338 0.5 "3" "de"
"907" 17 "e1" 3 "c" "2" "的" "-" 454 0.5 "3" "de"
"917" 17 "e1" 5 "a" "2" "的" "-" 570 -0.5 "3" "de"
"926" 17 "e1" 9 "a" "2" "的" "-" 732 -0.5 "3" "de"
"937" 17 "e1" 19 "c" "2" "的" "-" 777 0.5 "3" "de"
"947" 17 "e1" 1 "a" "2" "的" "-" 429 -0.5 "3" "de"
"958" 17 "e1" 7 "c" "2" "的" "-" 1256 0.5 "3" "de"
"971" 17 "e1" 11 "c" "3" "的" "-" 383 0.5 "3" "de"
"982" 17 "e1" 17 "a" "2" "的" "-" 464 -0.5 "3" "de"
"994" 17 "e1" 15 "c" "2" "的" "-" 429 0.5 "3" "de"
"1007" 17 "e1" 13 "a" "3" "的" "-" 358 -0.5 "3" "de"
"1017" 18 "e1" 18 "c" "2" "的" "-" 656 0.5 "3" "de"
"1027" 18 "e1" 10 "c" "2" "的" "-" 257 0.5 "3" "de"
"1037" 18 "e1" 6 "c" "2" "的" "-" 268 0.5 "3" "de"
"1047" 18 "e1" 8 "a" "2" "的" "-" 263 -0.5 "3" "de"
"1060" 18 "e1" 14 "c" "2" "的" "-" 328 0.5 "3" "de"
"1074" 18 "e1" 16 "a" "2" "的" "-" 384 -0.5 "3" "de"
"1088" 18 "e1" 12 "a" "2" "的" "-" 343 -0.5 "3" "de"
"1101" 18 "e1" 20 "a" "2" "的" "-" 308 -0.5 "3" "de"
"1112" 18 "e1" 4 "a" "2" "的" "-" 752 -0.5 "3" "de"
"1123" 18 "e1" 2 "c" "2" "的" "-" 333 0.5 "3" "de"
"1134" 19 "e1" 11 "a" "3" "的" "-" 949 -0.5 "3" "de"
"1145" 19 "e1" 1 "c" "2" "的" "-" 579 0.5 "3" "de"
"1156" 19 "e1" 15 "a" "2" "的" "-" 490 -0.5 "3" "de"
"1168" 19 "e1" 5 "c" "2" "的" "-" 767 0.5 "3" "de"
"1177" 19 "e1" 19 "a" "2" "的" "-" 611 -0.5 "3" "de"
"1187" 19 "e1" 3 "a" "2" "的" "-" 525 -0.5 "3" "de"
"1197" 19 "e1" 7 "a" "2" "的" "-" 454 -0.5 "3" "de"
"1209" 19 "e1" 17 "c" "2" "的" "-" 404 0.5 "3" "de"
"1221" 19 "e1" 9 "c" "2" "的" "-" 343 0.5 "3" "de"
"1233" 19 "e1" 13 "c" "3" "的" "-" 368 0.5 "3" "de"
"1243" 2 "e1" 14 "c" "2" "的" "-" 611 0.5 "3" "de"
"1257" 2 "e1" 16 "a" "2" "的" "-" 439 -0.5 "3" "de"
"1271" 2 "e1" 12 "a" "2" "的" "-" 571 -0.5 "3" "de"
"1284" 2 "e1" 6 "c" "2" "的" "-" 419 0.5 "3" "de"
"1294" 2 "e1" 10 "c" "2" "的" "-" 449 0.5 "3" "de"
"1304" 2 "e1" 18 "c" "2" "的" "-" 399 0.5 "3" "de"
"1314" 2 "e1" 20 "a" "2" "的" "-" 419 -0.5 "3" "de"
"1325" 2 "e1" 8 "a" "2" "的" "-" 480 -0.5 "3" "de"
"1338" 2 "e1" 2 "c" "2" "的" "-" 499 0.5 "3" "de"
"1348" 2 "e1" 4 "a" "2" "的" "-" 459 -0.5 "3" "de"
"1359" 20 "e1" 6 "a" "2" "的" "-" 631 -0.5 "3" "de"
"1369" 20 "e1" 16 "c" "2" "的" "-" 379 0.5 "3" "de"
"1381" 20 "e1" 12 "c" "2" "的" "-" 368 0.5 "3" "de"
"1395" 20 "e1" 14 "a" "2" "的" "-" 278 -0.5 "3" "de"
"1409" 20 "e1" 8 "c" "2" "的" "-" 308 0.5 "3" "de"
"1422" 20 "e1" 20 "c" "2" "的" "-" 439 0.5 "3" "de"
"1433" 20 "e1" 10 "a" "2" "的" "-" 328 -0.5 "3" "de"
"1443" 20 "e1" 18 "a" "2" "的" "-" 273 -0.5 "3" "de"
"1453" 20 "e1" 2 "a" "2" "的" "-" 223 -0.5 "3" "de"
"1463" 20 "e1" 4 "c" "2" "的" "-" 202 0.5 "3" "de"
"1475" 21 "e1" 17 "a" "2" "的" "-" 399 -0.5 "3" "de"
"1488" 21 "e1" 11 "c" "3" "的" "-" 329 0.5 "3" "de"
"1499" 21 "e1" 9 "a" "2" "的" "-" 339 -0.5 "3" "de"
"1510" 21 "e1" 15 "c" "2" "的" "-" 329 0.5 "3" "de"
"1522" 21 "e1" 5 "a" "2" "的" "-" 273 -0.5 "3" "de"
"1531" 21 "e1" 1 "a" "2" "的" "-" 384 -0.5 "3" "de"
"1542" 21 "e1" 3 "c" "2" "的" "-" 429 0.5 "3" "de"
"1553" 21 "e1" 13 "a" "3" "的" "-" 389 -0.5 "3" "de"
"1563" 21 "e1" 19 "c" "2" "的" "-" 338 0.5 "3" "de"
"1573" 21 "e1" 7 "c" "2" "的" "-" 389 0.5 "3" "de"
"1585" 22 "e1" 16 "a" "2" "的" "-" 466 -0.5 "3" "de"
"1599" 22 "e1" 12 "a" "2" "的" "-" 479 -0.5 "3" "de"
