"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"16536" 21 "expt2" 5 "a" "2" "的" "-" 379 -0.5 "3" "de"
"16608" 21 "expt2" 2 "b" "2" "的" "-" 416 0.5 "3" "de"
"16630" 21 "expt2" 13 "a" "2" "的" "-" 429 -0.5 "3" "de"
"16759" 21 "expt2" 18 "b" "2" "的" "-" 413 0.5 "3" "de"
"16783" 21 "expt2" 17 "a" "2" "的" "-" 564 -0.5 "3" "de"
"16849" 21 "expt2" 1 "a" "2" "的" "-" 884 -0.5 "3" "de"
"16997" 21 "expt2" 14 "b" "2" "的" "-" 496 0.5 "3" "de"
"17101" 21 "expt2" 22 "b" "2" "的" "-" 339 0.5 "3" "de"
"17253" 21 "expt2" 9 "a" "2" "的" "-" 309 -0.5 "3" "de"
"17402" 21 "expt2" 6 "b" "2" "的" "-" 370 0.5 "3" "de"
"17424" 21 "expt2" 21 "a" "2" "的" "-" 398 -0.5 "3" "de"
"17556" 22 "expt2" 13 "b" "2" "的" "-" 580 0.5 "3" "de"
"17722" 22 "expt2" 24 "a" "2" "的" "-" 610 -0.5 "3" "de"
"17788" 22 "expt2" 1 "b" "2" "的" "-" 567 0.5 "3" "de"
"17848" 22 "expt2" 4 "a" "2" "的" "-" 678 -0.5 "3" "de"
"18077" 22 "expt2" 9 "b" "2" "的" "-" 650 0.5 "3" "de"
"18337" 22 "expt2" 8 "a" "2" "的" "-" 480 -0.5 "3" "de"
"18369" 22 "expt2" 20 "a" "2" "的" "-" 671 -0.5 "3" "de"
"18428" 22 "expt2" 5 "b" "2" "的" "-" 441 0.5 "3" "de"
"18473" 22 "expt2" 12 "a" "2" "的" "-" 462 -0.5 "3" "de"
"18521" 22 "expt2" 16 "a" "2" "的" "-" 435 -0.5 "3" "de"
"18550" 22 "expt2" 21 "b" "2" "的" "-" 502 0.5 "3" "de"
"18731" 22 "expt2" 17 "b" "2" "的" "-" 367 0.5 "3" "de"
"18866" 23 "expt2" 8 "b" "2" "的" "-" 392 0.5 "3" "de"
"19061" 23 "expt2" 20 "b" "2" "的" "-" 456 0.5 "3" "de"
"19433" 23 "expt2" 11 "a" "2" "的" "-" 312 -0.5 "3" "de"
"19517" 23 "expt2" 16 "b" "2" "的" "-" 400 0.5 "3" "de"
"19561" 23 "expt2" 7 "a" "2" "的" "-" 450 -0.5 "3" "de"
"19619" 23 "expt2" 19 "a" "2" "的" "-" 287 -0.5 "3" "de"
"19641" 23 "expt2" 3 "a" "2" "的" "-" 364 -0.5 "3" "de"
"19711" 23 "expt2" 23 "a" "2" "的" "-" 401 -0.5 "3" "de"
"19813" 23 "expt2" 15 "a" "2" "的" "-" 425 -0.5 "3" "de"
"19850" 23 "expt2" 24 "b" "2" "的" "-" 315 0.5 "3" "de"
"19915" 23 "expt2" 12 "b" "2" "的" "-" 515 0.5 "3" "de"
"19962" 23 "expt2" 4 "b" "2" "的" "-" 352 0.5 "3" "de"
"20068" 24 "expt2" 3 "b" "2" "的" "-" 596 0.5 "3" "de"
"20238" 24 "expt2" 2 "a" "2" "的" "-" 466 -0.5 "3" "de"
"20300" 24 "expt2" 22 "a" "2" "的" "-" 577 -0.5 "3" "de"
"20410" 24 "expt2" 10 "a" "2" "的" "-" 549 -0.5 "3" "de"
"20501" 24 "expt2" 19 "b" "2" "的" "-" 417 0.5 "3" "de"
"20525" 24 "expt2" 6 "a" "2" "的" "-" 2315 -0.5 "3" "de"
"20624" 24 "expt2" 18 "a" "2" "的" "-" 1422 -0.5 "3" "de"
"20659" 24 "expt2" 11 "b" "2" "的" "-" 438 0.5 "3" "de"
"20781" 24 "expt2" 23 "b" "2" "的" "-" 534 0.5 "3" "de"
"20826" 24 "expt2" 15 "b" "2" "的" "-" 1441 0.5 "3" "de"
"21142" 24 "expt2" 7 "b" "2" "的" "-" 328 0.5 "3" "de"
"21234" 24 "expt2" 14 "a" "2" "的" "-" 450 -0.5 "3" "de"
"21425" 25 "expt2" 1 "a" "2" "的" "-" 303 -0.5 "3" "de"
"21507" 25 "expt2" 14 "b" "2" "的" "-" 353 0.5 "3" "de"
"21541" 25 "expt2" 18 "b" "2" "的" "-" 333 0.5 "3" "de"
"21574" 25 "expt2" 10 "b" "2" "的" "-" 986 0.5 "3" "de"
"21804" 25 "expt2" 9 "a" "2" "的" "-" 346 -0.5 "3" "de"
"21825" 25 "expt2" 6 "b" "2" "的" "-" 306 0.5 "3" "de"
"21921" 25 "expt2" 17 "a" "2" "的" "-" 303 -0.5 "3" "de"
"22030" 25 "expt2" 22 "b" "2" "的" "-" 361 0.5 "3" "de"
"22117" 25 "expt2" 5 "a" "2" "的" "-" 346 -0.5 "3" "de"
"22296" 25 "expt2" 2 "b" "2" "的" "-" 346 0.5 "3" "de"
"22327" 25 "expt2" 13 "a" "2" "的" "-" 306 -0.5 "3" "de"
"22371" 25 "expt2" 21 "a" "2" "的" "-" 275 -0.5 "3" "de"
"22554" 26 "expt2" 4 "a" "2" "的" "-" 508 -0.5 "3" "de"
"22654" 26 "expt2" 9 "b" "2" "的" "-" 573 0.5 "3" "de"
"22813" 26 "expt2" 5 "b" "2" "的" "-" 361 0.5 "3" "de"
"23002" 26 "expt2" 21 "b" "2" "的" "-" 502 0.5 "3" "de"
"23134" 26 "expt2" 17 "b" "2" "的" "-" 416 0.5 "3" "de"
"23195" 26 "expt2" 8 "a" "2" "的" "-" 401 -0.5 "3" "de"
"23250" 26 "expt2" 24 "a" "2" "的" "-" 315 -0.5 "3" "de"
"23325" 26 "expt2" 20 "a" "2" "的" "-" 349 -0.5 "3" "de"
"23361" 26 "expt2" 16 "a" "2" "的" "-" 330 -0.5 "3" "de"
"23425" 26 "expt2" 12 "a" "2" "的" "-" 324 -0.5 "3" "de"
"23552" 26 "expt2" 13 "b" "2" "的" "-" 422 0.5 "3" "de"
"23709" 26 "expt2" 1 "b" "2" "的" "-" 312 0.5 "3" "de"
"24012" 27 "expt2" 11 "a" "2" "的" "-" 373 -0.5 "3" "de"
"24134" 27 "expt2" 4 "b" "2" "的" "-" 420 0.5 "3" "de"
"24202" 27 "expt2" 7 "a" "2" "的" "-" 515 -0.5 "3" "de"
"24320" 27 "expt2" 23 "a" "2" "的" "-" 435 -0.5 "3" "de"
"24341" 27 "expt2" 19 "a" "2" "的" "-" 373 -0.5 "3" "de"
"24413" 27 "expt2" 15 "a" "2" "的" "-" 327 -0.5 "3" "de"
"24524" 27 "expt2" 12 "b" "2" "的" "-" 361 0.5 "3" "de"
"24605" 27 "expt2" 8 "b" "2" "的" "-" 536 0.5 "3" "de"
"24812" 27 "expt2" 24 "b" "2" "的" "-" 300 0.5 "3" "de"
"24833" 27 "expt2" 20 "b" "2" "的" "-" 309 0.5 "3" "de"
"24858" 27 "expt2" 16 "b" "2" "的" "-" 417 0.5 "3" "de"
"24879" 27 "expt2" 3 "a" "2" "的" "-" 373 -0.5 "3" "de"
"25077" 28 "expt2" 14 "a" "2" "的" "-" 923 -0.5 "3" "de"
"25272" 28 "expt2" 22 "a" "2" "的" "-" 352 -0.5 "3" "de"
"25350" 28 "expt2" 2 "a" "2" "的" "-" 266 -0.5 "3" "de"
"25392" 28 "expt2" 11 "b" "2" "的" "-" 404 0.5 "3" "de"
"25464" 28 "expt2" 18 "a" "2" "的" "-" 262 -0.5 "3" "de"
"25499" 28 "expt2" 19 "b" "2" "的" "-" 312 0.5 "3" "de"
"25540" 28 "expt2" 3 "b" "2" "的" "-" 324 0.5 "3" "de"
"25777" 28 "expt2" 7 "b" "2" "的" "-" 201 0.5 "3" "de"
"25833" 28 "expt2" 6 "a" "2" "的" "-" 195 -0.5 "3" "de"
"25890" 28 "expt2" 15 "b" "2" "的" "-" 250 0.5 "3" "de"
"25910" 28 "expt2" 23 "b" "2" "的" "-" 195 0.5 "3" "de"
"25994" 28 "expt2" 10 "a" "2" "的" "-" 244 -0.5 "3" "de"
"26331" 29 "expt2" 14 "b" "2" "的" "-" 416 0.5 "3" "de"
"26514" 29 "expt2" 18 "b" "2" "的" "-" 360 0.5 "3" "de"
"26572" 29 "expt2" 17 "a" "2" "的" "-" 401 -0.5 "3" "de"
"26703" 29 "expt2" 6 "b" "2" "的" "-" 336 0.5 "3" "de"
"26751" 29 "expt2" 13 "a" "2" "的" "-" 400 -0.5 "3" "de"
"26812" 29 "expt2" 5 "a" "2" "的" "-" 628 -0.5 "3" "de"
"26874" 29 "expt2" 22 "b" "2" "的" "-" 364 0.5 "3" "de"
"26897" 29 "expt2" 1 "a" "2" "的" "-" 425 -0.5 "3" "de"
"27001" 29 "expt2" 21 "a" "2" "的" "-" 318 -0.5 "3" "de"
"27033" 29 "expt2" 10 "b" "2" "的" "-" 327 0.5 "3" "de"
"27116" 29 "expt2" 9 "a" "2" "的" "-" 345 -0.5 "3" "de"
"27358" 29 "expt2" 2 "b" "2" "的" "-" 447 0.5 "3" "de"
"27787" 3 "expt2" 7 "a" "2" "的" "-" 319 -0.5 "3" "de"
"27918" 3 "expt2" 23 "a" "2" "的" "-" 499 -0.5 "3" "de"
"28059" 3 "expt2" 4 "b" "2" "的" "-" 228 0.5 "3" "de"
"28265" 3 "expt2" 19 "a" "2" "的" "-" 228 -0.5 "3" "de"
"28287" 3 "expt2" 20 "b" "2" "的" "-" 454 0.5 "3" "de"
"28345" 3 "expt2" 3 "a" "2" "的" "-" 364 -0.5 "3" "de"
"28370" 3 "expt2" 8 "b" "2" "的" "-" 229 0.5 "3" "de"
"28417" 3 "expt2" 12 "b" "2" "的" "-" 409 0.5 "3" "de"
"28456" 3 "expt2" 15 "a" "2" "的" "-" 635 -0.5 "3" "de"
"28540" 3 "expt2" 11 "a" "2" "的" "-" 364 -0.5 "3" "de"
"28579" 3 "expt2" 24 "b" "2" "的" "-" 319 0.5 "3" "de"
"28731" 3 "expt2" 16 "b" "2" "的" "-" 319 0.5 "3" "de"
"28913" 30 "expt2" 4 "a" "2" "的" "-" 466 -0.5 "3" "de"
"28964" 30 "expt2" 21 "b" "2" "的" "-" 608 0.5 "3" "de"
"29012" 30 "expt2" 24 "a" "2" "的" "-" 507 -0.5 "3" "de"
"29068" 30 "expt2" 8 "a" "2" "的" "-" 476 -0.5 "3" "de"
"29101" 30 "expt2" 9 "b" "2" "的" "-" 693 0.5 "3" "de"
"29219" 30 "expt2" 20 "a" "2" "的" "-" 478 -0.5 "3" "de"
"29271" 30 "expt2" 17 "b" "2" "的" "-" 433 0.5 "3" "de"
"29718" 30 "expt2" 13 "b" "2" "的" "-" 395 0.5 "3" "de"
"29813" 30 "expt2" 12 "a" "2" "的" "-" 367 -0.5 "3" "de"
"29878" 30 "expt2" 16 "a" "2" "的" "-" 439 -0.5 "3" "de"
"29899" 30 "expt2" 5 "b" "2" "的" "-" 386 0.5 "3" "de"
"29932" 30 "expt2" 1 "b" "2" "的" "-" 333 0.5 "3" "de"
"30058" 31 "expt2" 19 "a" "2" "的" "-" 432 -0.5 "3" "de"
"30144" 31 "expt2" 3 "a" "2" "的" "-" 370 -0.5 "3" "de"
"30184" 31 "expt2" 7 "a" "2" "的" "-" 388 -0.5 "3" "de"
"30279" 31 "expt2" 12 "b" "2" "的" "-" 502 0.5 "3" "de"
"30621" 31 "expt2" 23 "a" "2" "的" "-" 493 -0.5 "3" "de"
"30665" 31 "expt2" 20 "b" "2" "的" "-" 457 0.5 "3" "de"
"30688" 31 "expt2" 24 "b" "2" "的" "-" 475 0.5 "3" "de"
"30726" 31 "expt2" 16 "b" "2" "的" "-" 432 0.5 "3" "de"
"30790" 31 "expt2" 8 "b" "2" "的" "-" 647 0.5 "3" "de"
"30860" 31 "expt2" 15 "a" "2" "的" "-" 435 -0.5 "3" "de"
"31175" 31 "expt2" 4 "b" "2" "的" "-" 383 0.5 "3" "de"
"31219" 31 "expt2" 11 "a" "2" "的" "-" 355 -0.5 "3" "de"
"31517" 32 "expt2" 18 "a" "2" "的" "-" 469 -0.5 "3" "de"
"31761" 32 "expt2" 14 "a" "2" "的" "-" 441 -0.5 "3" "de"
"31820" 32 "expt2" 2 "a" "2" "的" "-" 1967 -0.5 "3" "de"
"31878" 32 "expt2" 7 "b" "2" "的" "-" 389 0.5 "3" "de"
"32075" 32 "expt2" 19 "b" "2" "的" "-" 423 0.5 "3" "de"
"32106" 32 "expt2" 3 "b" "2" "的" "-" 364 0.5 "3" "de"
"32130" 32 "expt2" 15 "b" "2" "的" "-" 352 0.5 "3" "de"
"32183" 32 "expt2" 22 "a" "2" "的" "-" 259 -0.5 "3" "de"
"32205" 32 "expt2" 23 "b" "2" "的" "-" 1291 0.5 "3" "de"
"32271" 32 "expt2" 6 "a" "2" "的" "-" 398 -0.5 "3" "de"
"32291" 32 "expt2" 11 "b" "2" "的" "-" 334 0.5 "3" "de"
"32315" 32 "expt2" 10 "a" "2" "的" "-" 334 -0.5 "3" "de"
"32584" 33 "expt2" 2 "b" "2" "的" "-" 244 0.5 "3" "de"
"32606" 33 "expt2" 18 "b" "2" "的" "-" 804 0.5 "3" "de"
"32742" 33 "expt2" 5 "a" "2" "的" "-" 266 -0.5 "3" "de"
"32798" 33 "expt2" 1 "a" "2" "的" "-" 383 -0.5 "3" "de"
"32830" 33 "expt2" 14 "b" "2" "的" "-" 340 0.5 "3" "de"
"33012" 33 "expt2" 6 "b" "2" "的" "-" 515 0.5 "3" "de"
"33388" 33 "expt2" 21 "a" "2" "的" "-" 343 -0.5 "3" "de"
"33486" 33 "expt2" 13 "a" "2" "的" "-" 303 -0.5 "3" "de"
"33520" 33 "expt2" 17 "a" "2" "的" "-" 417 -0.5 "3" "de"
"33541" 33 "expt2" 22 "b" "2" "的" "-" 287 0.5 "3" "de"
"33601" 33 "expt2" 9 "a" "2" "的" "-" 299 -0.5 "3" "de"
"33684" 33 "expt2" 10 "b" "2" "的" "-" 290 0.5 "3" "de"
"33958" 34 "expt2" 21 "b" "2" "的" "-" 646 0.5 "3" "de"
"34111" 34 "expt2" 1 "b" "2" "的" "-" 496 0.5 "3" "de"
"34131" 34 "expt2" 4 "a" "2" "的" "-" 388 -0.5 "3" "de"
"34252" 34 "expt2" 17 "b" "2" "的" "-" 369 0.5 "3" "de"
"34278" 34 "expt2" 5 "b" "2" "的" "-" 806 0.5 "3" "de"
"34328" 34 "expt2" 13 "b" "2" "的" "-" 342 0.5 "3" "de"
"34494" 34 "expt2" 12 "a" "2" "的" "-" 370 -0.5 "3" "de"
"34610" 34 "expt2" 8 "a" "2" "的" "-" 360 -0.5 "3" "de"
"34678" 34 "expt2" 24 "a" "2" "的" "-" 363 -0.5 "3" "de"
"34869" 34 "expt2" 9 "b" "2" "的" "-" 336 0.5 "3" "de"
"34889" 34 "expt2" 16 "a" "2" "的" "-" 422 -0.5 "3" "de"
