"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"60" 1 "expt2" 22 "b" "2" "的" "-" 859 0.5 "3" "de"
"97" 1 "expt2" 18 "b" "2" "的" "-" 814 0.5 "3" "de"
"174" 1 "expt2" 9 "a" "2" "的" "-" 543 -0.5 "3" "de"
"316" 1 "expt2" 17 "a" "2" "的" "-" 479 -0.5 "3" "de"
"365" 1 "expt2" 6 "b" "2" "的" "-" 543 0.5 "3" "de"
"385" 1 "expt2" 21 "a" "2" "的" "-" 678 -0.5 "3" "de"
"657" 1 "expt2" 2 "b" "2" "的" "-" 498 0.5 "3" "de"
"717" 1 "expt2" 13 "a" "2" "的" "-" 588 -0.5 "3" "de"
"903" 1 "expt2" 10 "b" "2" "的" "-" 498 0.5 "3" "de"
"1029" 1 "expt2" 5 "a" "2" "的" "-" 453 -0.5 "3" "de"
"1187" 1 "expt2" 14 "b" "2" "的" "-" 724 0.5 "3" "de"
"1207" 1 "expt2" 1 "a" "2" "的" "-" 588 -0.5 "3" "de"
"1342" 10 "expt2" 16 "a" "2" "的" "-" 816 -0.5 "3" "de"
"1420" 10 "expt2" 12 "a" "2" "的" "-" 907 -0.5 "3" "de"
"1464" 10 "expt2" 1 "b" "2" "的" "-" 635 0.5 "3" "de"
"1500" 10 "expt2" 4 "a" "2" "的" "-" 409 -0.5 "3" "de"
"1813" 10 "expt2" 8 "a" "2" "的" "-" 438 -0.5 "3" "de"
"1850" 10 "expt2" 5 "b" "2" "的" "-" 544 0.5 "3" "de"
"1898" 10 "expt2" 20 "a" "2" "的" "-" 391 -0.5 "3" "de"
"2012" 10 "expt2" 13 "b" "2" "的" "-" 409 0.5 "3" "de"
"2133" 10 "expt2" 24 "a" "2" "的" "-" 364 -0.5 "3" "de"
"2286" 10 "expt2" 9 "b" "2" "的" "-" 454 0.5 "3" "de"
"2413" 10 "expt2" 21 "b" "2" "的" "-" 499 0.5 "3" "de"
"2435" 10 "expt2" 17 "b" "2" "的" "-" 381 0.5 "3" "de"
"2647" 11 "expt2" 20 "b" "2" "的" "-" 453 0.5 "3" "de"
"2683" 11 "expt2" 4 "b" "2" "的" "-" 453 0.5 "3" "de"
"2764" 11 "expt2" 19 "a" "2" "的" "-" 363 -0.5 "3" "de"
"2833" 11 "expt2" 24 "b" "2" "的" "-" 498 0.5 "3" "de"
"2912" 11 "expt2" 12 "b" "2" "的" "-" 363 0.5 "3" "de"
"2997" 11 "expt2" 8 "b" "2" "的" "-" 408 0.5 "3" "de"
"3116" 11 "expt2" 11 "a" "2" "的" "-" 318 -0.5 "3" "de"
"3165" 11 "expt2" 7 "a" "2" "的" "-" 381 -0.5 "3" "de"
"3223" 11 "expt2" 16 "b" "2" "的" "-" 318 0.5 "3" "de"
"3258" 11 "expt2" 3 "a" "2" "的" "-" 363 -0.5 "3" "de"
"3525" 11 "expt2" 15 "a" "2" "的" "-" 409 -0.5 "3" "de"
"3711" 11 "expt2" 23 "a" "2" "的" "-" 454 -0.5 "3" "de"
"3902" 12 "expt2" 15 "b" "2" "的" "-" 409 0.5 "3" "de"
"4030" 12 "expt2" 7 "b" "2" "的" "-" 519 0.5 "3" "de"
"4063" 12 "expt2" 11 "b" "2" "的" "-" 409 0.5 "3" "de"
"4098" 12 "expt2" 2 "a" "2" "的" "-" 364 -0.5 "3" "de"
"4173" 12 "expt2" 22 "a" "2" "的" "-" 454 -0.5 "3" "de"
"4194" 12 "expt2" 6 "a" "2" "的" "-" 409 -0.5 "3" "de"
"4289" 12 "expt2" 19 "b" "2" "的" "-" 318 0.5 "3" "de"
"4376" 12 "expt2" 3 "b" "2" "的" "-" 364 0.5 "3" "de"
"4435" 12 "expt2" 14 "a" "2" "的" "-" 907 -0.5 "3" "de"
"4561" 12 "expt2" 23 "b" "2" "的" "-" 228 0.5 "3" "de"
"4597" 12 "expt2" 10 "a" "2" "的" "-" 228 -0.5 "3" "de"
"4632" 12 "expt2" 18 "a" "2" "的" "-" 228 -0.5 "3" "de"
"5278" 13 "expt2" 2 "b" "2" "的" "-" 526 0.5 "3" "de"
"5308" 13 "expt2" 13 "a" "2" "的" "-" 499 -0.5 "3" "de"
"5382" 13 "expt2" 6 "b" "2" "的" "-" 680 0.5 "3" "de"
"5490" 13 "expt2" 14 "b" "2" "的" "-" 499 0.5 "3" "de"
"5551" 13 "expt2" 1 "a" "2" "的" "-" 499 -0.5 "3" "de"
"5596" 13 "expt2" 22 "b" "2" "的" "-" 409 0.5 "3" "de"
"5655" 13 "expt2" 10 "b" "2" "的" "-" 364 0.5 "3" "de"
"5824" 13 "expt2" 21 "a" "2" "的" "-" 364 -0.5 "3" "de"
"5933" 13 "expt2" 9 "a" "2" "的" "-" 319 -0.5 "3" "de"
"6015" 13 "expt2" 18 "b" "2" "的" "-" 364 0.5 "3" "de"
"6098" 13 "expt2" 5 "a" "2" "的" "-" 319 -0.5 "3" "de"
"6169" 13 "expt2" 17 "a" "2" "的" "-" 319 -0.5 "3" "de"
"6468" 14 "expt2" 21 "b" "2" "的" "-" 590 0.5 "3" "de"
"6529" 14 "expt2" 8 "a" "2" "的" "-" 770 -0.5 "3" "de"
"6575" 14 "expt2" 17 "b" "2" "的" "-" 364 0.5 "3" "de"
"6658" 14 "expt2" 20 "a" "2" "的" "-" 454 -0.5 "3" "de"
"6681" 14 "expt2" 9 "b" "2" "的" "-" 364 0.5 "3" "de"
"6962" 14 "expt2" 5 "b" "2" "的" "-" 372 0.5 "3" "de"
"7123" 14 "expt2" 16 "a" "2" "的" "-" 409 -0.5 "3" "de"
"7258" 14 "expt2" 24 "a" "2" "的" "-" 509 -0.5 "3" "de"
"7320" 14 "expt2" 12 "a" "2" "的" "-" 499 -0.5 "3" "de"
"7343" 14 "expt2" 13 "b" "2" "的" "-" 590 0.5 "3" "de"
"7391" 14 "expt2" 4 "a" "2" "的" "-" 409 -0.5 "3" "de"
"7449" 14 "expt2" 1 "b" "2" "的" "-" 500 0.5 "3" "de"
"7642" 15 "expt2" 8 "b" "2" "的" "-" 538 0.5 "3" "de"
"7717" 15 "expt2" 15 "a" "2" "的" "-" 454 -0.5 "3" "de"
"7749" 15 "expt2" 11 "a" "2" "的" "-" 681 -0.5 "3" "de"
"7843" 15 "expt2" 4 "b" "2" "的" "-" 409 0.5 "3" "de"
"7889" 15 "expt2" 23 "a" "2" "的" "-" 409 -0.5 "3" "de"
"7966" 15 "expt2" 3 "a" "2" "的" "-" 364 -0.5 "3" "de"
"8125" 15 "expt2" 16 "b" "2" "的" "-" 319 0.5 "3" "de"
"8145" 15 "expt2" 7 "a" "2" "的" "-" 324 -0.5 "3" "de"
"8180" 15 "expt2" 24 "b" "2" "的" "-" 678 0.5 "3" "de"
"8327" 15 "expt2" 20 "b" "2" "的" "-" 590 0.5 "3" "de"
"8614" 15 "expt2" 19 "a" "2" "的" "-" 454 -0.5 "3" "de"
"8636" 15 "expt2" 12 "b" "2" "的" "-" 681 0.5 "3" "de"
"8806" 16 "expt2" 22 "a" "2" "的" "-" 454 -0.5 "3" "de"
"8993" 16 "expt2" 2 "a" "2" "的" "-" 545 -0.5 "3" "de"
"9028" 16 "expt2" 23 "b" "2" "的" "-" 590 0.5 "3" "de"
"9051" 16 "expt2" 10 "a" "2" "的" "-" 455 -0.5 "3" "de"
"9167" 16 "expt2" 11 "b" "2" "的" "-" 600 0.5 "3" "de"
"9297" 16 "expt2" 6 "a" "2" "的" "-" 1253 -0.5 "3" "de"
"9349" 16 "expt2" 3 "b" "2" "的" "-" 501 0.5 "3" "de"
"9652" 16 "expt2" 14 "a" "2" "的" "-" 449 -0.5 "3" "de"
"9697" 16 "expt2" 18 "a" "2" "的" "-" 528 -0.5 "3" "de"
"9791" 16 "expt2" 15 "b" "2" "的" "-" 500 0.5 "3" "de"
"9872" 16 "expt2" 19 "b" "2" "的" "-" 621 0.5 "3" "de"
"9941" 16 "expt2" 7 "b" "2" "的" "-" 532 0.5 "3" "de"
"10058" 17 "expt2" 2 "b" "2" "的" "-" 470 0.5 "3" "de"
"10078" 17 "expt2" 10 "b" "2" "的" "-" 486 0.5 "3" "de"
"10180" 17 "expt2" 1 "a" "2" "的" "-" 364 -0.5 "3" "de"
"10398" 17 "expt2" 17 "a" "2" "的" "-" 364 -0.5 "3" "de"
"10575" 17 "expt2" 6 "b" "2" "的" "-" 454 0.5 "3" "de"
"10607" 17 "expt2" 13 "a" "2" "的" "-" 364 -0.5 "3" "de"
"10677" 17 "expt2" 14 "b" "2" "的" "-" 457 0.5 "3" "de"
"10710" 17 "expt2" 18 "b" "2" "的" "-" 386 0.5 "3" "de"
"10948" 17 "expt2" 9 "a" "2" "的" "-" 333 -0.5 "3" "de"
"11022" 17 "expt2" 5 "a" "2" "的" "-" 419 -0.5 "3" "de"
"11083" 17 "expt2" 22 "b" "2" "的" "-" 364 0.5 "3" "de"
"11190" 17 "expt2" 21 "a" "2" "的" "-" 491 -0.5 "3" "de"
"11353" 18 "expt2" 4 "a" "2" "的" "-" 859 -0.5 "3" "de"
"11408" 18 "expt2" 16 "a" "2" "的" "-" 1628 -0.5 "3" "de"
"11509" 18 "expt2" 21 "b" "2" "的" "-" 724 0.5 "3" "de"
"11598" 18 "expt2" 8 "a" "2" "的" "-" 498 -0.5 "3" "de"
"11655" 18 "expt2" 12 "a" "2" "的" "-" 408 -0.5 "3" "de"
"11744" 18 "expt2" 24 "a" "2" "的" "-" 436 -0.5 "3" "de"
"11779" 18 "expt2" 17 "b" "2" "的" "-" 588 0.5 "3" "de"
"11804" 18 "expt2" 5 "b" "2" "的" "-" 371 0.5 "3" "de"
"11946" 18 "expt2" 1 "b" "2" "的" "-" 951 0.5 "3" "de"
"12112" 18 "expt2" 20 "a" "2" "的" "-" 996 -0.5 "3" "de"
"12151" 18 "expt2" 13 "b" "2" "的" "-" 634 0.5 "3" "de"
"12470" 18 "expt2" 9 "b" "2" "的" "-" 499 0.5 "3" "de"
"12620" 19 "expt2" 15 "a" "2" "的" "-" 499 -0.5 "3" "de"
"12753" 19 "expt2" 3 "a" "2" "的" "-" 409 -0.5 "3" "de"
"13009" 19 "expt2" 24 "b" "2" "的" "-" 499 0.5 "3" "de"
"13045" 19 "expt2" 8 "b" "2" "的" "-" 499 0.5 "3" "de"
"13069" 19 "expt2" 7 "a" "2" "的" "-" 454 -0.5 "3" "de"
"13144" 19 "expt2" 4 "b" "2" "的" "-" 409 0.5 "3" "de"
"13168" 19 "expt2" 16 "b" "2" "的" "-" 589 0.5 "3" "de"
"13268" 19 "expt2" 11 "a" "2" "的" "-" 409 -0.5 "3" "de"
"13515" 19 "expt2" 23 "a" "2" "的" "-" 409 -0.5 "3" "de"
"13580" 19 "expt2" 20 "b" "2" "的" "-" 454 0.5 "3" "de"
"13603" 19 "expt2" 12 "b" "2" "的" "-" 998 0.5 "3" "de"
"13682" 19 "expt2" 19 "a" "2" "的" "-" 454 -0.5 "3" "de"
"13818" 2 "expt2" 24 "a" "2" "的" "-" 499 -0.5 "3" "de"
"13864" 2 "expt2" 16 "a" "2" "的" "-" 345 -0.5 "3" "de"
"13983" 2 "expt2" 20 "a" "2" "的" "-" 363 -0.5 "3" "de"
"14008" 2 "expt2" 12 "a" "2" "的" "-" 363 -0.5 "3" "de"
"14199" 2 "expt2" 21 "b" "2" "的" "-" 391 0.5 "3" "de"
"14300" 2 "expt2" 5 "b" "2" "的" "-" 363 0.5 "3" "de"
"14454" 2 "expt2" 4 "a" "2" "的" "-" 318 -0.5 "3" "de"
"14500" 2 "expt2" 8 "a" "2" "的" "-" 363 -0.5 "3" "de"
"14803" 2 "expt2" 17 "b" "2" "的" "-" 408 0.5 "3" "de"
"14887" 2 "expt2" 13 "b" "2" "的" "-" 211 0.5 "3" "de"
"14911" 2 "expt2" 1 "b" "2" "的" "-" 273 0.5 "3" "de"
"14960" 2 "expt2" 9 "b" "2" "的" "-" 318 0.5 "3" "de"
"15146" 20 "expt2" 19 "b" "2" "的" "-" 454 0.5 "3" "de"
"15276" 20 "expt2" 3 "b" "2" "的" "-" 454 0.5 "3" "de"
"15310" 20 "expt2" 14 "a" "2" "的" "-" 590 -0.5 "3" "de"
"15328" 20 "expt2" 23 "b" "2" "的" "-" 454 0.5 "3" "de"
"15536" 20 "expt2" 18 "a" "2" "的" "-" 500 -0.5 "3" "de"
"15569" 20 "expt2" 6 "a" "2" "的" "-" 409 -0.5 "3" "de"
"15724" 20 "expt2" 11 "b" "2" "的" "-" 499 0.5 "3" "de"
"15777" 20 "expt2" 7 "b" "2" "的" "-" 454 0.5 "3" "de"
"15958" 20 "expt2" 10 "a" "2" "的" "-" 455 -0.5 "3" "de"
"16045" 20 "expt2" 22 "a" "2" "的" "-" 364 -0.5 "3" "de"
"16185" 20 "expt2" 2 "a" "2" "的" "-" 409 -0.5 "3" "de"
"16235" 20 "expt2" 15 "b" "2" "的" "-" 398 0.5 "3" "de"
"16446" 21 "expt2" 10 "b" "2" "的" "-" 687 0.5 "3" "de"
