"subj" "item" "condition" "rt" "rcpos"
"174001" "21.dat" 6 "b" 2831 "1"
"174011" "21.dat" 6 "b" 527 "2"
"174021" "21.dat" 6 "b" 370 "3"
"174031" "21.dat" 6 "b" 490 "4"
"174041" "21.dat" 6 "b" 453 "5"
"17422" "21.dat" 21 "a" 789 "1"
"17423" "21.dat" 21 "a" 521 "2"
"17424" "21.dat" 21 "a" 398 "3"
"17425" "21.dat" 21 "a" 515 "4"
"17426" "21.dat" 21 "a" 595 "5"
"17554" "22.dat" 13 "b" 703 "1"
"17555" "22.dat" 13 "b" 651 "2"
"17556" "22.dat" 13 "b" 580 "3"
"17557" "22.dat" 13 "b" 592 "4"
"17558" "22.dat" 13 "b" 1794 "5"
"175871" "22.dat" 22 "c" 1465 "1"
"175881" "22.dat" 22 "c" 952 "2"
"17589" "22.dat" 22 "c" 638 "3"
"17590" "22.dat" 22 "c" 838 "4"
"17591" "22.dat" 22 "c" 782 "5"
"17720" "22.dat" 24 "a" 1315 "1"
"17721" "22.dat" 24 "a" 730 "2"
"17722" "22.dat" 24 "a" 610 "3"
"17723" "22.dat" 24 "a" 1075 "4"
"17724" "22.dat" 24 "a" 2270 "5"
"17786" "22.dat" 1 "b" 2627 "1"
"17787" "22.dat" 1 "b" 770 "2"
"17788" "22.dat" 1 "b" 567 "3"
"17789" "22.dat" 1 "b" 715 "4"
"17790" "22.dat" 1 "b" 1059 "5"
"17846" "22.dat" 4 "a" 939 "1"
"17847" "22.dat" 4 "a" 669 "2"
"17848" "22.dat" 4 "a" 678 "3"
"17849" "22.dat" 4 "a" 521 "4"
"17850" "22.dat" 4 "a" 1114 "5"
"178841" "22.dat" 15 "d" 499 "1"
"178851" "22.dat" 15 "d" 2034 "2"
"178861" "22.dat" 15 "d" 1087 "3"
"17887" "22.dat" 15 "d" 699 "4"
"17888" "22.dat" 15 "d" 3451 "5"
"17922" "22.dat" 23 "d" 918 "1"
"17923" "22.dat" 23 "d" 968 "2"
"17924" "22.dat" 23 "d" 954 "3"
"17925" "22.dat" 23 "d" 951 "4"
"17926" "22.dat" 23 "d" 2996 "5"
"17966" "22.dat" 10 "c" 1505 "1"
"17967" "22.dat" 10 "c" 1766 "2"
"17968" "22.dat" 10 "c" 758 "3"
"17969" "22.dat" 10 "c" 2455 "4"
"17970" "22.dat" 10 "c" 696 "5"
"18003" "22.dat" 7 "d" 970 "1"
"18004" "22.dat" 7 "d" 921 "2"
"180051" "22.dat" 7 "d" 2904 "3"
"180061" "22.dat" 7 "d" 724 "4"
"180071" "22.dat" 7 "d" 820 "5"
"18041" "22.dat" 14 "c" 856 "1"
"18042" "22.dat" 14 "c" 973 "2"
"18043" "22.dat" 14 "c" 666 "3"
"18044" "22.dat" 14 "c" 801 "4"
"18045" "22.dat" 14 "c" 866 "5"
"18075" "22.dat" 9 "b" 746 "1"
"18076" "22.dat" 9 "b" 727 "2"
"18077" "22.dat" 9 "b" 650 "3"
"18078" "22.dat" 9 "b" 684 "4"
"18079" "22.dat" 9 "b" 997 "5"
"18110" "22.dat" 18 "c" 1059 "1"
"18111" "22.dat" 18 "c" 1173 "2"
"18112" "22.dat" 18 "c" 813 "3"
"18113" "22.dat" 18 "c" 662 "4"
"18114" "22.dat" 18 "c" 1403 "5"
"18142" "22.dat" 2 "c" 462 "1"
"18143" "22.dat" 2 "c" 511 "2"
"18144" "22.dat" 2 "c" 497 "3"
"18145" "22.dat" 2 "c" 1293 "4"
"18146" "22.dat" 2 "c" 521 "5"
"18213" "22.dat" 6 "c" 469 "1"
"18214" "22.dat" 6 "c" 475 "2"
"18215" "22.dat" 6 "c" 543 "3"
"18216" "22.dat" 6 "c" 453 "4"
"18217" "22.dat" 6 "c" 807 "5"
"18335" "22.dat" 8 "a" 527 "1"
"18336" "22.dat" 8 "a" 490 "2"
"18337" "22.dat" 8 "a" 480 "3"
"18338" "22.dat" 8 "a" 422 "4"
"18339" "22.dat" 8 "a" 699 "5"
"18367" "22.dat" 20 "a" 614 "1"
"18368" "22.dat" 20 "a" 580 "2"
"18369" "22.dat" 20 "a" 671 "3"
"18370" "22.dat" 20 "a" 539 "4"
"18371" "22.dat" 20 "a" 893 "5"
"18426" "22.dat" 5 "b" 601 "1"
"18427" "22.dat" 5 "b" 484 "2"
"18428" "22.dat" 5 "b" 441 "3"
"18429" "22.dat" 5 "b" 410 "4"
"18430" "22.dat" 5 "b" 702 "5"
"18471" "22.dat" 12 "a" 1210 "1"
"18472" "22.dat" 12 "a" 555 "2"
"18473" "22.dat" 12 "a" 462 "3"
"18474" "22.dat" 12 "a" 514 "4"
"18475" "22.dat" 12 "a" 641 "5"
"18519" "22.dat" 16 "a" 527 "1"
"18520" "22.dat" 16 "a" 1332 "2"
"18521" "22.dat" 16 "a" 435 "3"
"18522" "22.dat" 16 "a" 533 "4"
"18523" "22.dat" 16 "a" 598 "5"
"18548" "22.dat" 21 "b" 847 "1"
"18549" "22.dat" 21 "b" 561 "2"
"18550" "22.dat" 21 "b" 502 "3"
"18551" "22.dat" 21 "b" 515 "4"
"18552" "22.dat" 21 "b" 579 "5"
"18574" "22.dat" 3 "d" 465 "1"
"18575" "22.dat" 3 "d" 770 "2"
"18576" "22.dat" 3 "d" 496 "3"
"18577" "22.dat" 3 "d" 453 "4"
"18578" "22.dat" 3 "d" 1037 "5"
"186091" "22.dat" 19 "d" 438 "1"
"186101" "22.dat" 19 "d" 1231 "2"
"186111" "22.dat" 19 "d" 496 "3"
"186121" "22.dat" 19 "d" 3966 "4"
"186131" "22.dat" 19 "d" 509 "5"
"18680" "22.dat" 11 "d" 515 "1"
"18681" "22.dat" 11 "d" 568 "2"
"18682" "22.dat" 11 "d" 438 "3"
"18683" "22.dat" 11 "d" 404 "4"
"18684" "22.dat" 11 "d" 1726 "5"
"18729" "22.dat" 17 "b" 625 "1"
"18730" "22.dat" 17 "b" 450 "2"
"18731" "22.dat" 17 "b" 367 "3"
"18732" "22.dat" 17 "b" 296 "4"
"18733" "22.dat" 17 "b" 499 "5"
"188071" "23.dat" 18 "d" 576 "1"
"188081" "23.dat" 18 "d" 490 "2"
"188091" "23.dat" 18 "d" 484 "3"
"18810" "23.dat" 18 "d" 306 "4"
"18811" "23.dat" 18 "d" 506 "5"
"18864" "23.dat" 8 "b" 536 "1"
"18865" "23.dat" 8 "b" 465 "2"
"18866" "23.dat" 8 "b" 392 "3"
"18867" "23.dat" 8 "b" 330 "4"
"18868" "23.dat" 8 "b" 591 "5"
"18986" "23.dat" 5 "c" 370 "1"
"18987" "23.dat" 5 "c" 767 "2"
"18988" "23.dat" 5 "c" 395 "3"
"18989" "23.dat" 5 "c" 352 "4"
"189901" "23.dat" 5 "c" 349 "5"
"19059" "23.dat" 20 "b" 545 "1"
"19060" "23.dat" 20 "b" 490 "2"
"19061" "23.dat" 20 "b" 456 "3"
"19062" "23.dat" 20 "b" 407 "4"
"19063" "23.dat" 20 "b" 622 "5"
"191371" "23.dat" 1 "c" 803 "1"
"19138" "23.dat" 1 "c" 748 "2"
"19139" "23.dat" 1 "c" 419 "3"
"19140" "23.dat" 1 "c" 481 "4"
"19141" "23.dat" 1 "c" 502 "5"
"19226" "23.dat" 21 "c" 539 "1"
"19227" "23.dat" 21 "c" 453 "2"
"19228" "23.dat" 21 "c" 462 "3"
"19229" "23.dat" 21 "c" 487 "4"
"19230" "23.dat" 21 "c" 459 "5"
"19283" "23.dat" 2 "d" 472 "1"
"19284" "23.dat" 2 "d" 428 "2"
"19285" "23.dat" 2 "d" 404 "3"
"19286" "23.dat" 2 "d" 453 "4"
"19287" "23.dat" 2 "d" 702 "5"
"19347" "23.dat" 9 "c" 432 "1"
"19348" "23.dat" 9 "c" 419 "2"
"193491" "23.dat" 9 "c" 364 "3"
"193501" "23.dat" 9 "c" 398 "4"
"193511" "23.dat" 9 "c" 330 "5"
"19368" "23.dat" 14 "d" 419 "1"
"19369" "23.dat" 14 "d" 566 "2"
"19370" "23.dat" 14 "d" 410 "3"
"19371" "23.dat" 14 "d" 502 "4"
"19372" "23.dat" 14 "d" 632 "5"
"19431" "23.dat" 11 "a" 380 "1"
"19432" "23.dat" 11 "a" 346 "2"
"19433" "23.dat" 11 "a" 312 "3"
"19434" "23.dat" 11 "a" 306 "4"
"19435" "23.dat" 11 "a" 404 "5"
"19479" "23.dat" 22 "d" 370 "1"
"19480" "23.dat" 22 "d" 413 "2"
"194811" "23.dat" 22 "d" 401 "3"
"194821" "23.dat" 22 "d" 321 "4"
"194831" "23.dat" 22 "d" 561 "5"
"19515" "23.dat" 16 "b" 386 "1"
"19516" "23.dat" 16 "b" 419 "2"
"19517" "23.dat" 16 "b" 400 "3"
"19518" "23.dat" 16 "b" 471 "4"
"19519" "23.dat" 16 "b" 435 "5"
"19559" "23.dat" 7 "a" 1256 "1"
"19560" "23.dat" 7 "a" 401 "2"
"19561" "23.dat" 7 "a" 450 "3"
"19562" "23.dat" 7 "a" 558 "4"
"19563" "23.dat" 7 "a" 364 "5"
"19582" "23.dat" 6 "d" 539 "1"
"19583" "23.dat" 6 "d" 509 "2"
"19584" "23.dat" 6 "d" 468 "3"
"19585" "23.dat" 6 "d" 428 "4"
"19586" "23.dat" 6 "d" 407 "5"
"19617" "23.dat" 19 "a" 361 "1"
"19618" "23.dat" 19 "a" 284 "2"
"19619" "23.dat" 19 "a" 287 "3"
"19620" "23.dat" 19 "a" 290 "4"
"19621" "23.dat" 19 "a" 447 "5"
"19639" "23.dat" 3 "a" 389 "1"
"19640" "23.dat" 3 "a" 306 "2"
"19641" "23.dat" 3 "a" 364 "3"
"19642" "23.dat" 3 "a" 299 "4"
"19643" "23.dat" 3 "a" 318 "5"
"19690" "23.dat" 13 "c" 284 "1"
"19691" "23.dat" 13 "c" 662 "2"
"196921" "23.dat" 13 "c" 330 "3"
"196931" "23.dat" 13 "c" 324 "4"
"196941" "23.dat" 13 "c" 530 "5"
"19709" "23.dat" 23 "a" 321 "1"
"19710" "23.dat" 23 "a" 373 "2"
"19711" "23.dat" 23 "a" 401 "3"
"19712" "23.dat" 23 "a" 382 "4"
"19713" "23.dat" 23 "a" 349 "5"
"19778" "23.dat" 17 "c" 324 "1"
"19779" "23.dat" 17 "c" 453 "2"
"19780" "23.dat" 17 "c" 413 "3"
"19781" "23.dat" 17 "c" 345 "4"
"19782" "23.dat" 17 "c" 330 "5"
"19811" "23.dat" 15 "a" 364 "1"
"19812" "23.dat" 15 "a" 551 "2"
"19813" "23.dat" 15 "a" 425 "3"
"19814" "23.dat" 15 "a" 386 "4"
"198151" "23.dat" 15 "a" 453 "5"
"19848" "23.dat" 24 "b" 385 "1"
"19849" "23.dat" 24 "b" 306 "2"
"19850" "23.dat" 24 "b" 315 "3"
"19851" "23.dat" 24 "b" 287 "4"
"19852" "23.dat" 24 "b" 693 "5"
"19869" "23.dat" 10 "d" 499 "1"
"19870" "23.dat" 10 "d" 391 "2"
"19871" "23.dat" 10 "d" 428 "3"
"19872" "23.dat" 10 "d" 404 "4"
"19873" "23.dat" 10 "d" 311 "5"
"19913" "23.dat" 12 "b" 376 "1"
"19914" "23.dat" 12 "b" 548 "2"
"19915" "23.dat" 12 "b" 515 "3"
"19916" "23.dat" 12 "b" 429 "4"
"19917" "23.dat" 12 "b" 484 "5"
"19960" "23.dat" 4 "b" 456 "1"
"19961" "23.dat" 4 "b" 333 "2"
"19962" "23.dat" 4 "b" 352 "3"
"19963" "23.dat" 4 "b" 361 "4"
"19964" "23.dat" 4 "b" 352 "5"
"20066" "24.dat" 3 "b" 577 "1"
"20067" "24.dat" 3 "b" 881 "2"
"20068" "24.dat" 3 "b" 596 "3"
"20069" "24.dat" 3 "b" 494 "4"
"20070" "24.dat" 3 "b" 451 "5"
"20175" "24.dat" 1 "d" 602 "1"
"20176" "24.dat" 1 "d" 1989 "2"
"20177" "24.dat" 1 "d" 1066 "3"
"20178" "24.dat" 1 "d" 494 "4"
"20179" "24.dat" 1 "d" 651 "5"
"20202" "24.dat" 20 "c" 2811 "1"
"20203" "24.dat" 20 "c" 1118 "2"
"20204" "24.dat" 20 "c" 2571 "3"
"20205" "24.dat" 20 "c" 660 "4"
"20206" "24.dat" 20 "c" 534 "5"
"20236" "24.dat" 2 "a" 679 "1"
"20237" "24.dat" 2 "a" 414 "2"
"20238" "24.dat" 2 "a" 466 "3"
"20239" "24.dat" 2 "a" 743 "4"
"20240" "24.dat" 2 "a" 484 "5"
"20278" "24.dat" 16 "c" 491 "1"
"20279" "24.dat" 16 "c" 1051 "2"
"20280" "24.dat" 16 "c" 644 "3"
"20281" "24.dat" 16 "c" 654 "4"
"20282" "24.dat" 16 "c" 546 "5"
"202981" "24.dat" 22 "a" 451 "1"
"202991" "24.dat" 22 "a" 543 "2"
"203001" "24.dat" 22 "a" 577 "3"
"203011" "24.dat" 22 "a" 555 "4"
"20302" "24.dat" 22 "a" 494 "5"
"20408" "24.dat" 10 "a" 565 "1"
"20409" "24.dat" 10 "a" 1675 "2"
"20410" "24.dat" 10 "a" 549 "3"
"20411" "24.dat" 10 "a" 903 "4"
"20412" "24.dat" 10 "a" 900 "5"
"20454" "24.dat" 9 "d" 586 "1"
"20455" "24.dat" 9 "d" 872 "2"
"20456" "24.dat" 9 "d" 481 "3"
"20457" "24.dat" 9 "d" 583 "4"
"20458" "24.dat" 9 "d" 466 "5"
"20499" "24.dat" 19 "b" 589 "1"
"20500" "24.dat" 19 "b" 816 "2"
"20501" "24.dat" 19 "b" 417 "3"
"20502" "24.dat" 19 "b" 623 "4"
"20503" "24.dat" 19 "b" 577 "5"
"20523" "24.dat" 6 "a" 688 "1"
"20524" "24.dat" 6 "a" 1325 "2"
"20525" "24.dat" 6 "a" 2315 "3"
"20526" "24.dat" 6 "a" 1306 "4"
"20527" "24.dat" 6 "a" 897 "5"
"20559" "24.dat" 13 "d" 2155 "1"
"20560" "24.dat" 13 "d" 1318 "2"
"20561" "24.dat" 13 "d" 3284 "3"
"20562" "24.dat" 13 "d" 3715 "4"
"20563" "24.dat" 13 "d" 460 "5"
"20592" "24.dat" 4 "c" 768 "1"
"20593" "24.dat" 4 "c" 497 "2"
"20594" "24.dat" 4 "c" 396 "3"
"20595" "24.dat" 4 "c" 478 "4"
"20596" "24.dat" 4 "c" 491 "5"
"206221" "24.dat" 18 "a" 1100 "1"
"20623" "24.dat" 18 "a" 1487 "2"
"20624" "24.dat" 18 "a" 1422 "3"
"20625" "24.dat" 18 "a" 435 "4"
"20626" "24.dat" 18 "a" 564 "5"
"20657" "24.dat" 11 "b" 479 "1"
"20658" "24.dat" 11 "b" 469 "2"
"20659" "24.dat" 11 "b" 438 "3"
"206601" "24.dat" 11 "b" 826 "4"
"206611" "24.dat" 11 "b" 595 "5"
"20694" "24.dat" 24 "c" 1171 "1"
"20695" "24.dat" 24 "c" 2173 "2"
"20696" "24.dat" 24 "c" 810 "3"
"20697" "24.dat" 24 "c" 2287 "4"
"20698" "24.dat" 24 "c" 1266 "5"
"20731" "24.dat" 12 "c" 1220 "1"
"20732" "24.dat" 12 "c" 663 "2"
"20733" "24.dat" 12 "c" 472 "3"
"20734" "24.dat" 12 "c" 1106 "4"
"20735" "24.dat" 12 "c" 479 "5"
"207791" "24.dat" 23 "b" 472 "1"
"207801" "24.dat" 23 "b" 2357 "2"
"207811" "24.dat" 23 "b" 534 "3"
"207821" "24.dat" 23 "b" 1503 "4"
"20783" "24.dat" 23 "b" 734 "5"
"20824" "24.dat" 15 "b" 519 "1"
"20825" "24.dat" 15 "b" 1684 "2"
"20826" "24.dat" 15 "b" 1441 "3"
"20827" "24.dat" 15 "b" 900 "4"
"20828" "24.dat" 15 "b" 1020 "5"
"20928" "24.dat" 21 "d" 506 "1"
"20929" "24.dat" 21 "d" 712 "2"
"20930" "24.dat" 21 "d" 887 "3"
"20931" "24.dat" 21 "d" 2145 "4"
"20932" "24.dat" 21 "d" 407 "5"
"210321" "24.dat" 17 "d" 577 "1"
"210331" "24.dat" 17 "d" 571 "2"
"210341" "24.dat" 17 "d" 519 "3"
"210351" "24.dat" 17 "d" 663 "4"
"210361" "24.dat" 17 "d" 392 "5"
"21094" "24.dat" 8 "c" 512 "1"
"21095" "24.dat" 8 "c" 918 "2"
"21096" "24.dat" 8 "c" 380 "3"
"21097" "24.dat" 8 "c" 2031 "4"
"21098" "24.dat" 8 "c" 342 "5"
"21140" "24.dat" 7 "b" 374 "1"
"21141" "24.dat" 7 "b" 429 "2"
"21142" "24.dat" 7 "b" 328 "3"
"21143" "24.dat" 7 "b" 691 "4"
"21144" "24.dat" 7 "b" 691 "5"
"211891" "24.dat" 5 "d" 524 "1"
"211901" "24.dat" 5 "d" 623 "2"
"211911" "24.dat" 5 "d" 503 "3"
"211921" "24.dat" 5 "d" 1383 "4"
"211931" "24.dat" 5 "d" 518 "5"
"21232" "24.dat" 14 "a" 438 "1"
"21233" "24.dat" 14 "a" 1486 "2"
"21234" "24.dat" 14 "a" 450 "3"
"21235" "24.dat" 14 "a" 389 "4"
"21236" "24.dat" 14 "a" 617 "5"
"21304" "25.dat" 11 "c" 275 "1"
"21305" "25.dat" 11 "c" 488 "2"
"21306" "25.dat" 11 "c" 506 "3"
"21307" "25.dat" 11 "c" 312 "4"
"21308" "25.dat" 11 "c" 488 "5"
"213381" "25.dat" 12 "d" 282 "1"
"213391" "25.dat" 12 "d" 294 "2"
"213401" "25.dat" 12 "d" 567 "3"
"213411" "25.dat" 12 "d" 253 "4"
"213421" "25.dat" 12 "d" 303 "5"
"214231" "25.dat" 1 "a" 362 "1"
"21424" "25.dat" 1 "a" 285 "2"
"21425" "25.dat" 1 "a" 303 "3"
"21426" "25.dat" 1 "a" 355 "4"
"21427" "25.dat" 1 "a" 257 "5"
"21474" "25.dat" 15 "c" 386 "1"
"21475" "25.dat" 15 "c" 764 "2"
"21476" "25.dat" 15 "c" 351 "3"
"21477" "25.dat" 15 "c" 315 "4"
"21478" "25.dat" 15 "c" 346 "5"
"215051" "25.dat" 14 "b" 497 "1"
"215061" "25.dat" 14 "b" 558 "2"
"215071" "25.dat" 14 "b" 353 "3"
"215081" "25.dat" 14 "b" 340 "4"
"215091" "25.dat" 14 "b" 380 "5"
"21539" "25.dat" 18 "b" 331 "1"
"21540" "25.dat" 18 "b" 318 "2"
"21541" "25.dat" 18 "b" 333 "3"
"21542" "25.dat" 18 "b" 303 "4"
"21543" "25.dat" 18 "b" 315 "5"
"21572" "25.dat" 10 "b" 362 "1"
"21573" "25.dat" 10 "b" 281 "2"
"21574" "25.dat" 10 "b" 986 "3"
"21575" "25.dat" 10 "b" 318 "4"
"21576" "25.dat" 10 "b" 561 "5"
"21636" "25.dat" 19 "c" 266 "1"
"21637" "25.dat" 19 "c" 331 "2"
"21638" "25.dat" 19 "c" 259 "3"
"21639" "25.dat" 19 "c" 524 "4"
"21640" "25.dat" 19 "c" 256 "5"
"21712" "25.dat" 23 "c" 358 "1"
"21713" "25.dat" 23 "c" 386 "2"
"21714" "25.dat" 23 "c" 309 "3"
"21715" "25.dat" 23 "c" 322 "4"
"21716" "25.dat" 23 "c" 291 "5"
"21768" "25.dat" 20 "d" 328 "1"
"21769" "25.dat" 20 "d" 321 "2"
"21770" "25.dat" 20 "d" 256 "3"
"21771" "25.dat" 20 "d" 358 "4"
"21772" "25.dat" 20 "d" 306 "5"
"21802" "25.dat" 9 "a" 316 "1"
"218031" "25.dat" 9 "a" 293 "2"
"218041" "25.dat" 9 "a" 346 "3"
"218051" "25.dat" 9 "a" 312 "4"
"218061" "25.dat" 9 "a" 318 "5"
"21823" "25.dat" 6 "b" 306 "1"
"21824" "25.dat" 6 "b" 343 "2"
"21825" "25.dat" 6 "b" 306 "3"
"21826" "25.dat" 6 "b" 321 "4"
"21827" "25.dat" 6 "b" 288 "5"
"21887" "25.dat" 16 "d" 361 "1"
"21888" "25.dat" 16 "d" 340 "2"
"21889" "25.dat" 16 "d" 379 "3"
"218901" "25.dat" 16 "d" 284 "4"
"218911" "25.dat" 16 "d" 339 "5"
"21919" "25.dat" 17 "a" 386 "1"
"21920" "25.dat" 17 "a" 334 "2"
"21921" "25.dat" 17 "a" 303 "3"
"21922" "25.dat" 17 "a" 294 "4"
"21923" "25.dat" 17 "a" 303 "5"
"21948" "25.dat" 7 "c" 257 "1"
"21949" "25.dat" 7 "c" 291 "2"
"21950" "25.dat" 7 "c" 343 "3"
"21951" "25.dat" 7 "c" 404 "4"
"21952" "25.dat" 7 "c" 373 "5"
"22008" "25.dat" 8 "d" 714 "1"
"22009" "25.dat" 8 "d" 404 "2"
"22010" "25.dat" 8 "d" 352 "3"
"22011" "25.dat" 8 "d" 367 "4"
"22012" "25.dat" 8 "d" 761 "5"
"22028" "25.dat" 22 "b" 365 "1"
"220291" "25.dat" 22 "b" 337 "2"
"220301" "25.dat" 22 "b" 361 "3"
"220311" "25.dat" 22 "b" 343 "4"
"220321" "25.dat" 22 "b" 321 "5"
"22071" "25.dat" 24 "d" 343 "1"
"22072" "25.dat" 24 "d" 402 "2"
"22073" "25.dat" 24 "d" 355 "3"
"22074" "25.dat" 24 "d" 300 "4"
"22075" "25.dat" 24 "d" 574 "5"
"22115" "25.dat" 5 "a" 356 "1"
"22116" "25.dat" 5 "a" 349 "2"
"22117" "25.dat" 5 "a" 346 "3"
"22118" "25.dat" 5 "a" 278 "4"
"22119" "25.dat" 5 "a" 244 "5"
"22188" "25.dat" 3 "c" 257 "1"
"22189" "25.dat" 3 "c" 213 "2"
"22190" "25.dat" 3 "c" 244 "3"
"22191" "25.dat" 3 "c" 220 "4"
"22192" "25.dat" 3 "c" 238 "5"
"22294" "25.dat" 2 "b" 319 "1"
"22295" "25.dat" 2 "b" 309 "2"
"22296" "25.dat" 2 "b" 346 "3"
"22297" "25.dat" 2 "b" 263 "4"
"22298" "25.dat" 2 "b" 303 "5"
"22325" "25.dat" 13 "a" 312 "1"
"22326" "25.dat" 13 "a" 306 "2"
"22327" "25.dat" 13 "a" 306 "3"
"22328" "25.dat" 13 "a" 303 "4"
"22329" "25.dat" 13 "a" 263 "5"
"22369" "25.dat" 21 "a" 340 "1"
"22370" "25.dat" 21 "a" 287 "2"
"22371" "25.dat" 21 "a" 275 "3"
"22372" "25.dat" 21 "a" 290 "4"
"22373" "25.dat" 21 "a" 247 "5"
"22392" "25.dat" 4 "d" 297 "1"
"22393" "25.dat" 4 "d" 346 "2"
"22394" "25.dat" 4 "d" 352 "3"
"223951" "25.dat" 4 "d" 294 "4"
"223961" "25.dat" 4 "d" 263 "5"
"22552" "26.dat" 4 "a" 1243 "1"
"22553" "26.dat" 4 "a" 729 "2"
"22554" "26.dat" 4 "a" 508 "3"
"22555" "26.dat" 4 "a" 468 "4"
"22556" "26.dat" 4 "a" 468 "5"
"22576" "26.dat" 3 "d" 453 "1"
"225771" "26.dat" 3 "d" 527 "2"
"225781" "26.dat" 3 "d" 474 "3"
"225791" "26.dat" 3 "d" 453 "4"
"225801" "26.dat" 3 "d" 536 "5"
"22600" "26.dat" 22 "c" 514 "1"
"22601" "26.dat" 22 "c" 477 "2"
"22602" "26.dat" 22 "c" 477 "3"
"22603" "26.dat" 22 "c" 459 "4"
"22604" "26.dat" 22 "c" 474 "5"
"22652" "26.dat" 9 "b" 472 "1"
"22653" "26.dat" 9 "b" 705 "2"
"22654" "26.dat" 9 "b" 573 "3"
"22655" "26.dat" 9 "b" 597 "4"
"22656" "26.dat" 9 "b" 444 "5"
"22712" "26.dat" 15 "d" 391 "1"
"22713" "26.dat" 15 "d" 551 "2"
"22714" "26.dat" 15 "d" 524 "3"
"22715" "26.dat" 15 "d" 444 "4"
"22716" "26.dat" 15 "d" 505 "5"
"22756" "26.dat" 18 "c" 425 "1"
"22757" "26.dat" 18 "c" 594 "2"
"22758" "26.dat" 18 "c" 379 "3"
"22759" "26.dat" 18 "c" 355 "4"
"22760" "26.dat" 18 "c" 352 "5"
"22811" "26.dat" 5 "b" 364 "1"
"22812" "26.dat" 5 "b" 404 "2"
"22813" "26.dat" 5 "b" 361 "3"
"22814" "26.dat" 5 "b" 358 "4"
"22815" "26.dat" 5 "b" 348 "5"
"22847" "26.dat" 23 "d" 318 "1"
"22848" "26.dat" 23 "d" 330 "2"
"22849" "26.dat" 23 "d" 379 "3"
"22850" "26.dat" 23 "d" 511 "4"
"22851" "26.dat" 23 "d" 496 "5"
"22964" "26.dat" 7 "d" 483 "1"
"22965" "26.dat" 7 "d" 564 "2"
"22966" "26.dat" 7 "d" 428 "3"
"22967" "26.dat" 7 "d" 496 "4"
"22968" "26.dat" 7 "d" 499 "5"
"23000" "26.dat" 21 "b" 358 "1"
"23001" "26.dat" 21 "b" 503 "2"
"23002" "26.dat" 21 "b" 502 "3"
"23003" "26.dat" 21 "b" 714 "4"
"23004" "26.dat" 21 "b" 582 "5"
"23034" "26.dat" 11 "d" 490 "1"
"23035" "26.dat" 11 "d" 877 "2"
"23036" "26.dat" 11 "d" 410 "3"
"23037" "26.dat" 11 "d" 585 "4"
"23038" "26.dat" 11 "d" 435 "5"
"23073" "26.dat" 14 "c" 456 "1"
"23074" "26.dat" 14 "c" 370 "2"
"23075" "26.dat" 14 "c" 491 "3"
"23076" "26.dat" 14 "c" 355 "4"
"23077" "26.dat" 14 "c" 401 "5"
"23132" "26.dat" 17 "b" 404 "1"
"23133" "26.dat" 17 "b" 459 "2"
"23134" "26.dat" 17 "b" 416 "3"
"23135" "26.dat" 17 "b" 398 "4"
"23136" "26.dat" 17 "b" 364 "5"
"23193" "26.dat" 8 "a" 333 "1"
"23194" "26.dat" 8 "a" 309 "2"
"23195" "26.dat" 8 "a" 401 "3"
"23196" "26.dat" 8 "a" 376 "4"
"23197" "26.dat" 8 "a" 536 "5"
"232481" "26.dat" 24 "a" 297 "1"
"232491" "26.dat" 24 "a" 367 "2"
"232501" "26.dat" 24 "a" 315 "3"
"232511" "26.dat" 24 "a" 306 "4"
"232521" "26.dat" 24 "a" 410 "5"
"23323" "26.dat" 20 "a" 334 "1"
"23324" "26.dat" 20 "a" 380 "2"
"23325" "26.dat" 20 "a" 349 "3"
"23326" "26.dat" 20 "a" 365 "4"
"23327" "26.dat" 20 "a" 364 "5"
"23359" "26.dat" 16 "a" 417 "1"
"23360" "26.dat" 16 "a" 324 "2"
"23361" "26.dat" 16 "a" 330 "3"
"23362" "26.dat" 16 "a" 324 "4"
"23363" "26.dat" 16 "a" 472 "5"
"233921" "26.dat" 10 "c" 515 "1"
"233931" "26.dat" 10 "c" 427 "2"
"233941" "26.dat" 10 "c" 411 "3"
"233951" "26.dat" 10 "c" 429 "4"
"233961" "26.dat" 10 "c" 419 "5"
"23423" "26.dat" 12 "a" 376 "1"
"23424" "26.dat" 12 "a" 358 "2"
"23425" "26.dat" 12 "a" 324 "3"
"23426" "26.dat" 12 "a" 343 "4"
"23427" "26.dat" 12 "a" 351 "5"
"23487" "26.dat" 19 "d" 376 "1"
"23488" "26.dat" 19 "d" 346 "2"
"23489" "26.dat" 19 "d" 401 "3"
"23490" "26.dat" 19 "d" 382 "4"
"23491" "26.dat" 19 "d" 373 "5"
"23519" "26.dat" 6 "c" 382 "1"
"23520" "26.dat" 6 "c" 308 "2"
"23521" "26.dat" 6 "c" 330 "3"
"23522" "26.dat" 6 "c" 358 "4"
"23523" "26.dat" 6 "c" 315 "5"
"23550" "26.dat" 13 "b" 281 "1"
"23551" "26.dat" 13 "b" 419 "2"
"23552" "26.dat" 13 "b" 422 "3"
"23553" "26.dat" 13 "b" 407 "4"
"23554" "26.dat" 13 "b" 453 "5"
"23615" "26.dat" 2 "c" 366 "1"
"23616" "26.dat" 2 "c" 373 "2"
"23617" "26.dat" 2 "c" 423 "3"
"23618" "26.dat" 2 "c" 420 "4"
"23619" "26.dat" 2 "c" 321 "5"
